ACURA,AMERICAN IRONHORSE,ALFA ROMEO,AMC,AMERICAN HAULER,AMERICAN NORTHERN HAULER,APRILIA,ASTON MARTIN,ASUNA GT,ATK,AUDI,BENTLEY,BIG DOG,BMW,BOREEM,BUELL,BUICK,CADILLAC,HUSQVARNA,CHEVROLET,CHRYSLER,CORRECT CRAFT,DAEWOO,DAIHATSU,DATSUN,DERBI,DODGE,DUCATI,EAGLE,FEATHERLITE,FERRARI,FIAT,JINAN FLYBO,FORD,FREIGHTLINER,GLOBAL-ELECTRIC,GENESIS TRAILERS,GEO,GLASTRON,GM,GMC,HAULMARK,HARLEY-DAVIDSON,HINO,HONDA,HUSABERG,UMMER,HYOSUNG,HYUNDAI,ICCO,INDIAN,INFINITI,INTERNATIONAL,ISUZU,IVECO,JAGUAR,JAYCO,JEEP,JOHN DEERE,KAWASAKI,KIA,KTM,LADA,LAMBORGHINI,LAND ROVER,LEXUS,LAFORZA,LINCOLN,LANCIA,LOTUS,MASERATI,MAYBACH,MAZDA,MERCEDES BENZ,MERCURY,MINI,MITSUBISHI,MOTO GUZZI,MZ,NISSAN-DIESEL-MOTOR,NISSAN,OLDSMOBILE,PEUGEOT,PLYMOUTH,POLARIS,PONTAIC,PORSCHE,RENAULT,ROADMASTER,ROKETA,ROLLS ROYCE,ROYAL CARGO,SAAB,SATURN,SCION,SKODA,SMART CAR,SPARTAN,STERLING,SUBARU,SURE_TRAC,SUZUKI,TAHOE,TOYOTA,TRIUMPH,TVR,UTILIMASTER,VESPA,VOLKSWAGEN,VOLVO,WINNEBAGO,WORKHORSE,YAMAHA,YUGO,ZONG,UNKNOWN
    SLX,null,null,null,null,null,null,null,null,null,    A8,null,    RIDGEBACK,524,null,null,    REGAL,    ESCALADE,null,    BLAZER,    E CLASS,null,null,null,null,null,    CARAVAN,996,null,null,   SCAGLIETTI,null,null,    COWLS,null,null,null,null,null,null,    COMMERCIAL ,null,VRS,null,    ELEMENT,    FX400,null,null,    STELLAR,null,null,    M30,null,    I280,null,null,null,    J10,null,null,    SPECTRA,null,null,null,null,null,null,    TOWN CAR,null,null,null,null,    B2600,560,    MONTEGO,null,    FG434,null,null,null,    CUBE,    FIRENZA,null,    NEON,    KINGPIN,    G3,null,null,null,null,null,null,null,    LW2,null,null,null,null,null,    SVX,null,    VERONA,null,XCAB,    TRIDENT,null,null,null,    JETTA,    S40,null,null,null,null,null,null
    TL,null,null,null,null,null,null,null,null,null,    ALLROAD,null,    VINTAGE ,525,null,null,    RENDEZVOUS,    FLEETWOOD,null,    C,    EXCUTIVE SEDAN,null,null,null,null,null,    CHALLENGER,999,null,null,    ENZO,null,null,    CROWN ,null,null,null,null,null,null,    DENALI,null,XL,null,    EV PLUS,    FX600,null,null,    TIBURON,null,null,    M35,null,    I350,null,null,null,    J20,null,null,    SPECTRA5,null,null,null,null,null,null,    ZEPHYR,null,null,null,null,    B3000,    B200,    MONTEREY,null,    FG6,null,null,null,    D21,    INTRIGUE,null,    PROWLER,    KINGPIN CUSTOM,    G5,null,null,null,null,null,null,null,    LW200,null,null,null,null,null,    TRIBECA,null,    VITARA,null,    FJ CRUISER,    TROPHY ,null,null,null,    KOMBI,    S60,null,null,null,null,null,null
    TSX,null,null,null,null,null,null,null,null,null,    CABRIOLET,null,    WOLF,528,null,null,    RIVIERA,    PROFESSIONAL ,null,    CAMARO,    FIFTH AVENUE,null,null,null,null,null,    CHARGER,    MONSTER ,null,null,    F35 ,null,null,    E SUPER DUTY ,null,null,null,null,null,null,    ENVOY,null,XR,null,FL,    FX650,null,null,    TUCSON,null,null,    M37,null,    IMPULSE,null,null,null,    LIBERTY,null,null,    SPORTAGE,null,null,null,null,null,null,null,null,null,null,null,    B4000,    C220,    MOUNTAINEE,null,    FG8,null,null,null,    FRONTIER,    LSS,null,    RELIANT,    MAGNUM 325 2X4,    G6,null,null,null,null,null,null,null,    LW300,null,null,null,null,null,GL,null,null,null,    HIGHLANDER,    TT600,null,null,null,BEETLE,    S70,null,null,null,null,null,null
    VIGOR,null,null,null,null,null,null,null,null,null,    COUPE,null,null,530,null,null,    ROADMASTER,    SEVILLE,null,    CAPRICE,    GRAND VOYAGER,null,null,null,null,null,    COLT,    MULTISTRADA,null,null,    F355,null,null,    E100 ,null,null,null,null,null,null,    FORWARD CONTROL ,null,null,null,GL,null,null,null,    VERACRUZ,null,null,    M45,null,    NPR,null,null,null,    PATRIOT,null,null,null,null,null,null,null,null,null,null,null,null,null,null,    CX-7,    C230,    MOUNTAINEER,null,    FH100,null,null,null,    GT-R,    OMEGA,null,    SAPPORO,    MAGNUM 325 4X4,    G8,null,null,null,null,null,null,null,    OUTLOOK,null,null,null,null,null,DL,null,null,null,    LAND CRUISER,null,null,null,null,    PASSAT,    S80,null,null,null,null,null,null
    ZDX,null,null,null,null,null,null,null,null,null,    CUSTOM,null,null,533,null,null,    SKYHAWK,    SRX,null,    CAVALIER,    IMPERIAL,null,null,null,null,null,    CONQUEST,    ST,null,null,    F40,null,null,    E150 ,null,null,null,null,null,null,    G-P ,null,null,null,    INSIGHT,null,null,null,    XG300,null,null,    M56,null,    NQR,null,null,null,    SCRAMBLER,null,null,null,null,null,null,null,null,null,null,null,null,null,null,    CX-9,    C240,    MYSTIQUE,null,    FH2,null,null,null,    KING CAB ,    SILHOUETTE,null,    SCAMP,    MAGNUM 500,    GRAND AM,null,null,null,null,null,null,null,    RELAY,null,null,null,null,null,null,null,null,null,    LANDCRUISER,null,null,null,null,    PHAETON,    S90,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,    GT,null,null,535,null,null,    SKYLARK,    STS,null,    CELEBRITY,    INTREPID,null,null,null,null,null,    D-,null,null,null,    F50,null,null,    E250,null,null,null,null,null,null,    GEO TRACKER,null,null,null,125,null,null,null,    XG350,null,null,    Q45,null,    NRR,null,null,null,    SPIRIT,null,null,null,null,null,null,null,null,null,null,null,null,null,null,    GLC,    C280,    SABLE,null,    GALANT,null,null,null,    LONG BED,    TORONADO,null,    SUNDANCE,    NESS,    GRAND PRIX,null,null,null,null,null,null,null,    SC,null,null,null,null,null,null,null,null,null,    MATRIX,null,null,null,null,    QUANTUM,    V40,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,    Q5,null,null,540,null,null,    SOMERSET,    XLR,null,    CHEVETTE,    LASER,null,null,null,null,null,    D50,null,null,null,    F550,null,null,    E350,null,null,null,null,null,null,    HI-CUBE ,null,null,null,250,null,null,null,null,null,null,    QX4,null,    OASIS,null,null,null,    WAGONEER,null,null,null,null,null,null,null,null,null,null,null,null,null,null,    MAZDA2,    C320,    SCORPIO,null,    LANCER,null,null,null,    MAXIMA,null,null,    TRAILDUSTER,    RANGER,    GTO,null,null,null,null,null,null,null,    SKY,null,null,null,null,null,null,null,null,null,    MR2,null,null,null,null,    R32,    V50,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,    Q7,null,null,545,null,null,    TERRAZA,null,null,    CITATION,    LEBARON,null,null,null,null,null,    DAKOTA,null,null,null,    MONDIAL,null,null,    E450 ,null,null,null,null,null,null,    JIMMY,null,null,null,500,null,null,null,null,null,null,    QX56,null,    PUP,null,null,null,    WRANGLER,null,null,null,null,null,null,null,null,null,null,null,null,null,null,    MAZDA3,    C350,    TOPAZ,null,    MIGHTY MAX,null,null,null,    MICRA,null,null,    VOYAGER,    SCRAMBLER 400 4X2,    Grand Prix,null,null,null,null,null,null,null,    SL,null,null,null,null,null,null,null,null,null,    PASEO,null,null,null,null,    RABBIT,    V70,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,    R8,null,null,550,null,null,null,null,null,    CLASSIC,    LHS,null,null,null,null,null,    DAYTONA,null,null,null,    TESTAROSSA,null,null,    ECONOLINE ,null,null,null,null,null,null,SUBURBAN,null,null,null,550,null,null,null,null,null,null,null,null,    REG CAB ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,    MAZDA5,    C36,    TRACER,null,    MIRAGE,null,null,null,    MULTI,null,null,null,    SCRAMBLER 400 4X4,    J2000,null,null,null,null,null,null,null,    SL1,null,null,null,null,null,null,null,null,null,    PICKUP,null,null,null,null,    ROUTAN,    V90,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,    RS ,null,null,    6-SERIES,null,null,null,null,null,    COBALT,    NEON,null,null,null,null,null,    DIPLOMAT,null,null,null,null,null,null,    EDGE,null,null,null,null,null,null,    RALLY,null,null,null,650,null,null,null,null,null,null,null,null,    RODEO,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,    MAZDA6,    C43,    VILLAGER,null,    MONTERO,null,null,null,    MURANO,null,null,null,    SCRAMBLER 50,    LAURENTIAN,null,null,null,null,null,null,null,    SL2,null,null,null,null,null,null,null,null,null,    PREVIA,null,null,null,null,    SCIROCCO,    XC60,null,null,null,null,null,null
